Borough,CONDOMINIUMS COMPARABLE PROPERTIES Boro-Block-Lot,CONDOMINIUMS COMPARABLE PROPERTIES Condo Section,CONDOMINIUMS COMPARABLE PROPERTIES Address,CONDOMINIUMS COMPARABLE PROPERTIES Neighborhood,CONDOMINIUMS COMPARABLE PROPERTIES Building Classification,CONDOMINIUMS COMPARABLE PROPERTIES Total Units,CONDOMINIUMS COMPARABLE PROPERTIES Year Built,CONDOMINIUMS COMPARABLE PROPERTIES Gross SqFt,CONDOMINIUMS COMPARABLE PROPERTIES Estimated Gross Income,CONDOMINIUMS COMPARABLE PROPERTIES Gross Income per SqFt,CONDOMINIUMS COMPARABLE PROPERTIES Estimated Expense,CONDOMINIUMS COMPARABLE PROPERTIES Expense per SqFt,CONDOMINIUMS COMPARABLE PROPERTIES Net Operating Income,CONDOMINIUMS COMPARABLE PROPERTIES Full Market Value,CONDOMINIUMS COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Condo in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Condo in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Condo in miles
Bronx,2-05725-7501,0011-R1,2600 HENRY HUDSON PARKWAY,RIVERDALE,R4-CONDOMINIUM,24,1941,35000,437500,12.5,181300,5.18,256200,1682998,48.09,2-05732-0924,2700 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,78,1955,108955,1229714,11.29,539876,4.96,689838,3432000,31.5,0.09,2-05746-0567,2675 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,78,1951,92782,1159771,12.5,480671,5.18,679100,3619000,39.01,0.11,2-05789-0024,3240 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,108,1938,"163,197","2,199,230",13.48,"1,080,504",6.62,"1,118,726","7,409,000",45.40,0.37
Bronx,2-05745-7501,0028-R1,2521 PALISADE AVENUE,RIVERDALE,R4-CONDOMINIUM,36,1986,62350,779375,12.5,322973,5.18,456402,2935290,47.08,2-05746-0567,2675 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,78,1951,92782,1159771,12.5,480671,5.18,679100,3619000,39.01,0.2,2-05732-0924,2700 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,78,1955,108955,1229714,11.29,539876,4.96,689838,3432000,31.5,0.31,2-05789-0024,3240 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,108,1938,"163,197","2,199,230",13.48,"1,080,504",6.62,"1,118,726","7,409,000",45.40,0.49
Bronx,2-05764-7501,0129-R1,460 WEST 236 STREET,KINGSBRIDGE/JEROME PARK,R4-CONDOMINIUM,53,2005,56512,1186752,21,534604,9.46,652148,4792003,84.8,2-03121-0038,906 EAST 178 STREET,EAST TREMONT,D1-ELEVATOR,35,2008,36596,776066,21.21,430956,11.78,345110,2280000,62.3,3.18,2-02816-0066,1305 MORRIS AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,73,2003,38212,755069,19.76,339705,8.89,415364,2973000,77.8,3.35,2-03091-0005,2490 BELMONT AVENUE,BELMONT,C1-WALK-UP,14,2006,"13,295","282,652",21.26,"130,025",9.78,"152,627","540,000",40.62,2.28
Bronx,2-05780-7501,0040-R1,3900 GREYSTONE AVENUE,RIVERDALE,R4-CONDOMINIUM,78,1928,95061,1258608,13.24,680637,7.16,577971,3531005,37.14,2-05796-0129,3660 OXFORD AVENUE,RIVERDALE,D3-ELEVATOR,77,1967,106934,1415876,13.24,765281,7.16,650595,4322000,40.42,0.24,2-05798-0077,545 WEST 236 STREET,RIVERDALE,D7-ELEVATOR,64,1939,90025,1137489,12.64,554033,6.15,583456,3531000,39.22,0.28,2-05773-0290,275 WEST 238 STREET,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,72,1937,"71,091","960,856",13.52,"532,931",7.50,"427,925","2,833,000",39.85,0.28
Bronx,2-05791-7501,0095-R1,3536 CAMBRIDGE AVENUE,RIVERDALE,R4-CONDOMINIUM,31,2005,52918,1124508,21.25,500604,9.46,623904,4274000,80.77,2-05779-0810,3804 GREYSTONE AVENUE,RIVERDALE,D7-ELEVATOR,45,1927,42552,692789,16.28,224771,5.28,468018,3185000,74.85,0.21,2-05798-0101,3615 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,15,1980,7550,174490,23.11,78802,10.44,95688,643000,85.17,0.14,2-03121-0038,906 EAST 178 STREET,EAST TREMONT,D1-ELEVATOR,35,2008,"36,596","776,066",21.21,"430,956",11.78,"345,110","2,280,000",62.30,3.22
Bronx,2-05798-7501,0062-R1,3614 JOHNSON AVENUE,RIVERDALE,R4-CONDOMINIUM,15,2002,14969,288153,19.25,133224,8.9,154929,1060999,70.88,2-03121-0038,906 EAST 178 STREET,EAST TREMONT,D1-ELEVATOR,35,2008,36596,776066,21.21,430956,11.78,345110,2280000,62.3,3.35,2-05798-0101,3615 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,15,1980,7550,174490,23.11,78802,10.44,95688,643000,85.17,0,2-05779-0810,3804 GREYSTONE AVENUE,RIVERDALE,D7-ELEVATOR,45,1927,"42,552","692,789",16.28,"224,771",5.28,"468,018","3,185,000",74.85,0.24
Bronx,2-05798-7502,0067-R1,3625 OXFORD AVENUE,RIVERDALE,R4-CONDOMINIUM,23,2005,40468,610662,15.09,302296,7.47,308366,2117000,52.31,2-05907-0348,3725 BLACKSTONE AVENUE,RIVERDALE,D1-ELEVATOR,42,1968,41803,630807,15.09,222392,5.32,408415,2453000,58.68,0.21,2-05716-0287,2475 PALISADE AVENUE,RIVERDALE,D1-ELEVATOR,25,1932,31098,565690,18.19,214887,6.91,350803,1925000,61.9,0.89,2-05796-0121,518 TULFAN TERRACE,RIVERDALE,D1-ELEVATOR,31,2005,"52,870","707,929",13.39,"309,290",5.85,"398,639","1,947,000",36.83,0.05
Bronx,2-05857-7501,0019-R1,5775 MOSHOLU AVENUE,RIVERDALE,R4-CONDOMINIUM,68,1962,71146,928455,13.05,443240,6.23,485215,3232002,45.43,2-05814-1155,210 WEST 251 STREET,FIELDSTON,D1-ELEVATOR,70,1960,75000,999460,13.33,371959,4.96,627501,3476000,46.35,0.82,2-05909-0163,3950 BLACKSTONE AVENUE,RIVERDALE,D1-ELEVATOR,176,1959,237000,3092924,13.05,1477491,6.23,1615433,10760000,45.4,1.18,2-05950-0429,5530 NETHERLAND AVENUE,RIVERDALE,D1-ELEVATOR,270,1948,"235,467","3,060,447",13.00,"1,619,950",6.88,"1,440,497","9,207,000",39.10,0.50
Bronx,2-05906-7501,0139-R1,628 WEST 238 STREET,RIVERDALE,R4-CONDOMINIUM,11,2004,25166,528486,21,237819,9.45,290667,1882090,74.79,2-03121-0038,906 EAST 178 STREET,EAST TREMONT,D1-ELEVATOR,35,2008,36596,776066,21.21,430956,11.78,345110,2280000,62.3,3.51,2-02816-0066,1305 MORRIS AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,73,2003,38212,755069,19.76,339705,8.89,415364,2973000,77.8,3.57,2-03091-0005,2490 BELMONT AVENUE,BELMONT,C1-WALK-UP,14,2006,"13,295","282,652",21.26,"130,025",9.78,"152,627","540,000",40.62,2.63
Bronx,2-05923-7501,0006-R1,4455 DOUGLAS AVENUE,RIVERDALE,R4-CONDOMINIUM,177,1955,292370,4958595,16.96,2268791,7.76,2689804,19449005,66.52,2-05716-0287,2475 PALISADE AVENUE,RIVERDALE,D1-ELEVATOR,25,1932,31098,565690,18.19,214887,6.91,350803,1925000,61.9,0.9,2-05723-0100,500 KAPPOCK STREET,RIVERDALE,D1-ELEVATOR,82,1950,59142,1003211,16.96,458925,7.76,544286,3936000,66.55,0.87,2-05706-0001,3104 KINGSBRIDGE AVENUE,KINGSBRIDGE/JEROME PARK,C7-WALK-UP,70,1926,"68,605","959,299",13.98,"547,670",7.98,"411,629","2,709,000",39.49,0.95
