Borough,COOPERATIVES COMPARABLE PROPERTIES Boro-Block-Lot,COOPERATIVES COMPARABLE PROPERTIES Address,COOPERATIVES COMPARABLE PROPERTIES Neighborhood,COOPERATIVES COMPARABLE PROPERTIES Building Classification,COOPERATIVES COMPARABLE PROPERTIES Total Units,COOPERATIVES COMPARABLE PROPERTIES Year Built,COOPERATIVES COMPARABLE PROPERTIES Gross SqFt,COOPERATIVES COMPARABLE PROPERTIES Estimated Gross Income,COOPERATIVES COMPARABLE PROPERTIES Gross Income per SqFt,COOPERATIVES COMPARABLE PROPERTIES Estimated Expense,COOPERATIVES COMPARABLE PROPERTIES Expense per SqFt,COOPERATIVES COMPARABLE PROPERTIES Net Operating Income,COOPERATIVES COMPARABLE PROPERTIES Full Market Value,COOPERATIVES COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Coop in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Coop in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Coop in miles
Queens,4-02268-0014,"77 78 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D4-ELEVATOR,57,1940,52602,739584,14.06,369792,7.03,369792,2431000,46.21,4-03341-0008,"111 76 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,66,1937,57909,1067820,18.44,316931,5.47,750889,5401000,93.27,0.15,4-03341-0016,"111 76 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,66,1937,59500,1187511,19.96,361742,6.08,825769,5906000,99.26,0.15,4-03340-0044,111 76 ROAD,FOREST HILLS,D1-ELEVATOR,61,1939,"52,182","873,936",16.75,"252,460",4.84,"621,476","3,179,000",60.92,0.19
Queens,4-02269-0020,"77 113 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING MEADOW PARK,D4-ELEVATOR,84,1940,93000,1307580,14.06,653790,7.03,653790,4299000,46.23,4-03341-0008,"111 76 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,66,1937,57909,1067820,18.44,316931,5.47,750889,5401000,93.27,0.18,4-02265-0079,"75 113 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,92,1951,60025,976877,16.27,419664,6.99,557213,3531000,58.83,0.21,4-02265-0086,75 GRND CNTRL PARKWAY SR,FOREST HILLS,D3-ELEVATOR,39,1964,"20,220","286,662",14.18,"105,428",5.21,"181,234","1,232,000",60.93,0.21
Queens,4-02270-0020,"112 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D4-ELEVATOR,85,1940,112500,1581750,14.06,790875,7.03,790875,5200000,46.22,4-03340-0013,"111 76 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,73,1938,75455,1312344,17.39,270817,3.59,1041527,7517000,99.62,0.27,4-03335-0008,"80 GRENFELL STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,128,1930,82091,1590739,19.38,774537,9.44,816202,5852000,71.29,0.27,4-03341-0016,111 76 ROAD,FOREST HILLS,D1-ELEVATOR,66,1937,"59,500","1,187,511",19.96,"361,742",6.08,"825,769","5,906,000",99.26,0.23
Queens,4-02288-0027,"48 45 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,62,1961,59580,902041,15.14,484981,8.14,417060,2717000,45.6,4-02288-0007,"48 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,66,1941,63000,929681,14.76,308829,4.9,620852,3960000,62.86,0,4-00196-0022,"47 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,59,1937,63492,966921,15.23,373094,5.88,593827,4080000,64.26,0.2,4-00196-0012,47 41 STREET,SUNNYSIDE,D1-ELEVATOR,58,1937,"64,758","893,554",13.80,"382,540",5.91,"511,014","3,370,000",52.04,0.20
Queens,4-02314-0001,"59 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,706,1964,721672,8039426,11.14,4337249,6.01,3702177,22843000,31.65,4-02319-0010,"47 59 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D3-ELEVATOR,233,1970,239190,2665635,11.14,1438670,6.01,1226965,7571000,31.65,0.15,4-00510-0020,"810 12 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,171,1972,167310,1493474,8.93,830558,4.96,662916,3953000,23.63,2.66,4-00884-0012,25 22 STREET,ASTORIA,D1-ELEVATOR,73,1991,"72,000","1,001,562",13.91,"509,935",7.08,"491,627","3,238,000",44.97,2.47
Queens,4-02322-0001,"59 61 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,282,1964,290000,4042600,13.94,1792200,6.18,2250400,9765000,33.67,4-05200-0006,"140 45 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D6-ELEVATOR,72,1996,49340,687800,13.94,343900,6.97,343900,1500000,30.4,4.52,4-02319-0010,"47 59 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D3-ELEVATOR,233,1970,239190,2665635,11.14,1438670,6.01,1226965,7571000,31.65,0.17,4-02474-0010,51 VAN KLEECK STREET,ELMHURST,D1-ELEVATOR,77,1963,"68,440","987,403",14.43,"358,765",5.24,"628,638","3,278,000",47.90,1.17
Queens,4-02376-0101,"52 65 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",MASPETH,D4-ELEVATOR,372,1956,357000,5230050,14.65,3295110,9.23,1934940,10791000,30.23,4-00117-0001,"50 39 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D1-ELEVATOR,472,1931,378186,5538796,14.65,3488774,9.23,2050022,14156000,37.43,1.33,4-01491-0021,"80 41 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,287,1959,263120,4073098,15.48,2036549,7.74,2036549,13957000,53.04,1.29,4-01312-0010,72 41 AVENUE,ELMHURST,D1-ELEVATOR,143,1955,"128,535","1,830,342",14.24,"955,351",7.43,"874,991","6,065,000",47.19,0.91
Queens,4-02382-0020,"52 65 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",MASPETH,D4-ELEVATOR,78,1955,105140,1412030,13.43,453153,4.31,958877,3179000,30.24,4-01336-0001,"61 43 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D1-ELEVATOR,88,1962,85568,1026159,11.99,415530,4.86,610629,2541000,29.7,0.79,4-02473-0031,"51 VAN KLEECK STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,106,1964,99883,1341117,13.43,430076,4.31,911041,3839000,38.43,0.92,4-01336-0032,40 61 STREET,WOODSIDE,D1-ELEVATOR,56,1963,"42,924","751,147",17.50,"251,060",5.85,"500,087","2,651,000",61.76,0.79
Queens,4-02864-0017,"86 GRAND AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,69,1959,53910,727246,13.49,298661,5.54,428585,2442000,45.3,4-02474-0022,"51 VAN KLEECK STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,88,1960,74600,1095838,14.69,493111,6.61,602727,3520000,47.18,0.14,4-02473-0031,"51 VAN KLEECK STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,106,1964,99883,1341117,13.43,430076,4.31,911041,3839000,38.43,0.17,4-01842-0031,87 JUSTICE AVENUE,ELMHURST,D1-ELEVATOR,109,1962,"107,010","1,443,059",13.49,"593,171",5.54,"849,888","4,884,000",45.64,0.19
Queens,4-02864-0021,"86 GRAND AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,100,1959,66924,902805,13.49,370759,5.54,532046,3523000,52.64,4-02474-0022,"51 VAN KLEECK STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,88,1960,74600,1095838,14.69,493111,6.61,602727,3520000,47.18,0.14,4-02473-0031,"51 VAN KLEECK STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,106,1964,99883,1341117,13.43,430076,4.31,911041,3839000,38.43,0.17,4-01842-0031,87 JUSTICE AVENUE,ELMHURST,D1-ELEVATOR,109,1962,"107,010","1,443,059",13.49,"593,171",5.54,"849,888","4,884,000",45.64,0.19
